update_date,update_type,update_status,region_code,district
2024-11-12,Address,Approved,TN-CBE,Mysuru
2025-03-24,Email,Pending,DL-NDL,Coimbatore
2026-01-09,Photo,Approved,KA-BLR,New Delhi
2025-07-17,Mobile,Rejected,KA-BLR,Mysuru
2026-04-04,Email,Approved,KA-BLR,Mysuru
2024-05-18,Address,Approved,TN-CHN,Nashik
2025-06-08,Mobile,Rejected,MH-MUM,Coimbatore
2024-12-09,Address,Approved,UP-LKO,Pune
2024-10-11,Mobile,Approved,MH-NSK,Lucknow
2024-12-27,Photo,Approved,UP-AGR,Pune
2025-03-11,Address,Approved,MH-NSK,Bengaluru
2025-09-19,Name,Approved,MH-PUN,Agra
2026-03-05,DOB,Approved,DL-NDL,New Delhi
2025-12-06,Photo,Rejected,DL-NDL,Chennai
2025-03-22,Biometric,Approved,TN-CBE,Coimbatore
2025-01-22,Biometric,Approved,KA-MYS,Pune
2025-07-27,Photo,Pending,TN-CHN,Nashik
2024-05-12,Mobile,Rejected,MH-NSK,Mumbai
2025-11-25,Address,Approved,TN-CBE,Agra
2025-12-05,DOB,Approved,KA-MYS,Nashik
2025-12-18,Mobile,Pending,KA-BLR,New Delhi
2025-12-18,Mobile,Rejected,KA-BLR,Lucknow
2026-03-06,Photo,Approved,UP-LKO,Mumbai
2025-03-04,Email,Approved,UP-LKO,Mumbai
2024-07-20,Address,Approved,MH-MUM,Agra
2025-01-28,Email,Approved,KA-BLR,Lucknow
2024-09-03,Name,Rejected,KA-MYS,Bengaluru
2025-06-11,Biometric,Rejected,TN-CBE,New Delhi
2025-02-09,DOB,Pending,TN-CHN,Coimbatore
2024-11-22,DOB,Approved,MH-NSK,New Delhi
2025-07-04,Mobile,Pending,UP-AGR,Coimbatore
2025-06-12,Name,Approved,TN-CHN,Agra
2025-06-07,DOB,Approved,MH-NSK,Mumbai
2025-11-18,Email,Rejected,DL-NDL,Pune
2026-04-07,Email,Approved,TN-CHN,Mumbai
2024-12-17,Email,Approved,KA-BLR,Chennai
2024-05-21,Address,Approved,TN-CHN,Nashik
2025-11-09,Name,Approved,TN-CBE,Nashik
2024-10-06,Photo,Approved,TN-CHN,New Delhi
2025-09-27,DOB,Pending,DL-NDL,Nashik
2025-09-17,Biometric,Approved,MH-MUM,Mysuru
2025-06-26,Photo,Approved,KA-BLR,Agra
2025-12-25,Photo,Approved,DL-NDL,Pune
2025-11-01,Name,Pending,DL-NDL,Nashik
2024-08-01,Biometric,Pending,MH-NSK,Mumbai
2025-07-17,DOB,Pending,MH-MUM,Lucknow
2024-07-02,Name,Pending,TN-CHN,Bengaluru
2024-05-13,Name,Pending,MH-MUM,Agra
2025-03-09,Photo,Pending,DL-NDL,Mysuru
2025-11-17,Name,Pending,MH-MUM,Chennai
2024-08-04,Address,Pending,DL-NDL,Bengaluru
2025-10-25,Email,Approved,UP-AGR,Pune
2024-12-28,Biometric,Rejected,UP-AGR,Nashik
2024-11-21,Address,Pending,TN-CBE,Mysuru
2025-11-07,Email,Approved,TN-CHN,Mumbai
2026-02-07,Email,Approved,UP-AGR,New Delhi
2025-08-29,DOB,Pending,UP-LKO,Nashik
2025-12-19,DOB,Approved,MH-PUN,Mumbai
2026-02-28,Name,Pending,TN-CHN,Mumbai
2024-11-18,DOB,Approved,MH-NSK,Mysuru
2025-10-03,Mobile,Approved,UP-AGR,New Delhi
2024-10-05,Photo,Rejected,UP-LKO,Mumbai
2025-10-30,Address,Rejected,UP-AGR,Lucknow
2025-01-13,Name,Approved,KA-MYS,New Delhi
2025-06-25,Photo,Rejected,UP-AGR,Agra
2026-03-29,Name,Approved,DL-NDL,New Delhi
2025-08-13,Photo,Approved,UP-LKO,Lucknow
2025-02-04,Address,Rejected,KA-MYS,Chennai
2025-01-31,Biometric,Approved,MH-PUN,Mysuru
2026-02-14,Name,Pending,MH-MUM,Mysuru
2024-11-30,DOB,Approved,TN-CHN,Chennai
2025-03-06,DOB,Pending,MH-PUN,Nashik
2024-10-04,Name,Approved,UP-AGR,Nashik
2026-04-08,Biometric,Approved,TN-CHN,Mumbai
2025-03-17,Email,Pending,MH-NSK,Mumbai
2025-05-06,Mobile,Approved,MH-PUN,Mumbai
2025-10-29,Biometric,Rejected,MH-NSK,Pune
2025-01-21,Email,Approved,MH-MUM,Chennai
2025-09-24,Email,Approved,DL-NDL,Chennai
2025-06-29,Name,Approved,KA-MYS,Coimbatore
2025-12-31,Address,Approved,KA-MYS,Nashik
2025-07-25,Name,Approved,TN-CHN,Nashik
2026-03-31,Email,Pending,MH-NSK,Coimbatore
2024-05-15,Photo,Pending,KA-BLR,Pune
2024-07-07,Photo,Pending,MH-PUN,Bengaluru
2025-08-16,Name,Approved,MH-PUN,Bengaluru
2025-11-06,DOB,Pending,TN-CBE,Mysuru
2024-04-29,Biometric,Pending,UP-AGR,Mumbai
2024-11-11,Biometric,Approved,KA-BLR,Bengaluru
2024-06-25,Mobile,Rejected,TN-CBE,Mumbai
2024-11-29,DOB,Approved,TN-CHN,Coimbatore
2026-04-15,Biometric,Approved,KA-MYS,Nashik
2024-07-29,DOB,Approved,KA-BLR,New Delhi
2024-12-31,Mobile,Approved,KA-BLR,Bengaluru
2024-08-28,Photo,Pending,TN-CHN,New Delhi
2025-11-17,Address,Approved,TN-CBE,New Delhi
2025-10-01,Mobile,Approved,KA-BLR,Mysuru
2024-07-04,Email,Rejected,UP-AGR,Coimbatore
2024-08-06,Photo,Pending,KA-BLR,Mysuru
2024-04-22,Email,Rejected,UP-LKO,Pune
2025-07-27,Name,Rejected,UP-AGR,Lucknow
2024-08-16,Email,Approved,MH-MUM,Pune
2025-08-31,Email,Rejected,KA-BLR,Lucknow
2024-05-28,Mobile,Approved,KA-MYS,Agra
2024-07-17,Name,Approved,KA-BLR,Mysuru
2025-10-06,Name,Approved,MH-NSK,Mumbai
2024-06-13,Name,Approved,KA-MYS,Coimbatore
2025-12-07,Mobile,Approved,MH-NSK,Agra
2026-01-27,Mobile,Pending,TN-CBE,Coimbatore
2025-05-04,Photo,Approved,UP-AGR,Bengaluru
2025-07-20,Mobile,Rejected,UP-AGR,Pune
2025-03-18,DOB,Approved,DL-NDL,Pune
2026-01-27,DOB,Approved,TN-CHN,Mumbai
2024-08-13,Mobile,Approved,MH-MUM,Mumbai
2024-09-05,Address,Approved,UP-LKO,Nashik
2024-10-09,Email,Rejected,KA-BLR,Chennai
2025-09-16,Mobile,Approved,KA-MYS,Agra
2025-12-15,Biometric,Pending,UP-AGR,Nashik
2024-06-07,Email,Approved,MH-NSK,Chennai
2025-07-24,Biometric,Rejected,MH-NSK,Agra
2025-07-22,Mobile,Approved,MH-NSK,Mumbai
2025-01-31,Email,Approved,UP-LKO,Coimbatore
2025-09-01,Name,Approved,DL-NDL,Mysuru
2024-10-13,Email,Approved,KA-MYS,Lucknow
2025-01-19,Photo,Pending,KA-MYS,Bengaluru
2025-04-26,Address,Approved,MH-PUN,Agra
2024-12-21,DOB,Pending,MH-NSK,Lucknow
2024-04-30,Email,Pending,MH-NSK,Nashik
2024-06-22,Photo,Pending,DL-NDL,Mysuru
2025-12-14,Email,Pending,MH-NSK,Agra
2025-02-17,Name,Pending,MH-PUN,Coimbatore
2025-11-11,Email,Rejected,UP-AGR,Mumbai
2024-08-20,Biometric,Pending,TN-CBE,Nashik
2025-10-16,DOB,Approved,MH-MUM,Mysuru
2026-03-16,Address,Rejected,MH-PUN,Bengaluru
2025-04-27,Mobile,Rejected,TN-CHN,Bengaluru
2024-06-15,Biometric,Approved,TN-CHN,Lucknow
2026-04-19,DOB,Approved,TN-CBE,Lucknow
2026-01-13,Biometric,Approved,UP-AGR,Lucknow
2024-10-20,Biometric,Approved,KA-MYS,Coimbatore
2024-10-10,Biometric,Approved,MH-MUM,New Delhi
2025-12-07,DOB,Pending,KA-MYS,Bengaluru
2026-01-16,Name,Approved,MH-NSK,Lucknow
2024-07-25,Email,Pending,DL-NDL,Pune
2025-03-07,Name,Rejected,TN-CHN,Mysuru
2025-09-02,Photo,Approved,KA-MYS,New Delhi
2025-11-09,Email,Pending,KA-MYS,New Delhi
2024-12-30,Email,Approved,TN-CHN,Lucknow
2025-12-04,Email,Approved,KA-MYS,Bengaluru
2026-03-27,Address,Approved,KA-BLR,Coimbatore
2024-12-08,Biometric,Approved,MH-PUN,Mysuru
2024-06-19,Email,Approved,DL-NDL,Nashik
2024-09-20,Name,Approved,MH-MUM,Bengaluru
2024-05-10,Address,Approved,KA-MYS,Nashik
2024-12-14,Name,Approved,UP-LKO,Mysuru
2024-10-13,Email,Approved,UP-LKO,Agra
2024-11-19,Email,Approved,UP-LKO,Lucknow
2024-09-30,Name,Approved,MH-NSK,Nashik
2025-09-01,Email,Rejected,DL-NDL,Lucknow
2025-05-10,Biometric,Approved,UP-LKO,Agra
2024-07-05,Email,Pending,UP-LKO,Bengaluru
2024-05-19,DOB,Pending,KA-MYS,Bengaluru
2026-01-03,Address,Approved,TN-CBE,New Delhi
2025-05-28,Mobile,Rejected,UP-AGR,Nashik
2026-02-23,Mobile,Approved,KA-MYS,Mumbai
2025-09-02,Email,Approved,TN-CHN,Mumbai
2026-03-12,Address,Approved,DL-NDL,Coimbatore
2024-07-30,Biometric,Rejected,MH-NSK,Nashik
2025-06-06,Address,Pending,MH-NSK,Pune
2025-05-31,Biometric,Rejected,TN-CHN,Mumbai
2024-05-04,Biometric,Approved,KA-MYS,Agra
2026-02-26,Name,Approved,MH-MUM,Mysuru
2024-07-11,DOB,Rejected,UP-AGR,New Delhi
2025-02-08,Email,Approved,MH-MUM,Agra
2025-03-31,Mobile,Approved,MH-MUM,Coimbatore
2024-11-19,DOB,Approved,MH-NSK,Agra
2024-07-14,Photo,Approved,MH-PUN,Lucknow
2024-09-20,Photo,Approved,KA-MYS,Coimbatore
2025-12-02,Address,Approved,UP-LKO,Mumbai
2025-01-10,Email,Approved,TN-CBE,New Delhi
2025-02-14,Email,Approved,KA-BLR,Mumbai
2024-04-20,Mobile,Approved,UP-AGR,Nashik
2026-01-15,Email,Approved,DL-NDL,Pune
2024-09-10,Email,Approved,KA-MYS,Mumbai
2025-06-18,Email,Pending,DL-NDL,Chennai
2026-01-27,Address,Approved,DL-NDL,Pune
2024-04-20,DOB,Approved,KA-MYS,Agra
2024-08-12,Name,Approved,TN-CHN,Nashik
2025-08-30,Email,Rejected,UP-AGR,Lucknow
2024-11-04,Biometric,Rejected,MH-NSK,Lucknow
2025-05-22,Mobile,Approved,KA-MYS,Bengaluru
2025-01-16,Address,Approved,KA-BLR,Lucknow
2024-06-28,Biometric,Pending,TN-CHN,Chennai
2024-09-13,Mobile,Pending,KA-BLR,Lucknow
2024-07-16,Address,Approved,KA-BLR,Mumbai
2025-11-29,Name,Rejected,TN-CHN,Mumbai
2024-11-29,Address,Rejected,MH-MUM,New Delhi
2025-11-16,Photo,Approved,TN-CHN,Pune
2025-07-10,Address,Approved,MH-PUN,Bengaluru
2025-12-27,DOB,Approved,TN-CBE,Bengaluru
2025-07-11,Mobile,Approved,KA-MYS,New Delhi
2024-12-27,Address,Rejected,DL-NDL,Coimbatore
2025-10-17,Biometric,Approved,KA-BLR,Lucknow
2025-08-04,Biometric,Rejected,KA-MYS,Bengaluru
2025-02-19,Name,Pending,KA-BLR,Agra
2025-04-26,Email,Approved,KA-BLR,Chennai
2026-03-09,Name,Pending,UP-LKO,Mumbai
2024-07-30,DOB,Approved,KA-MYS,Nashik
2024-09-10,Mobile,Pending,TN-CBE,Pune
2024-12-03,Address,Approved,KA-MYS,Chennai
2024-11-20,DOB,Approved,MH-MUM,Nashik
2024-06-30,Mobile,Approved,TN-CBE,Nashik
2026-02-07,Biometric,Pending,MH-MUM,Mysuru
2024-12-09,Name,Approved,MH-MUM,New Delhi
2026-01-04,Biometric,Approved,KA-BLR,Coimbatore
2024-10-04,Photo,Pending,UP-AGR,Pune
2025-01-07,Biometric,Approved,UP-LKO,Bengaluru
2024-10-10,Biometric,Approved,MH-MUM,Chennai
2025-03-04,Photo,Rejected,KA-BLR,Mysuru
2025-05-25,Email,Rejected,TN-CHN,Mumbai
2026-04-17,Email,Pending,KA-MYS,Bengaluru
2026-03-12,Mobile,Approved,UP-LKO,Chennai
2025-12-19,Photo,Pending,MH-MUM,Mumbai
2024-07-06,Address,Approved,UP-AGR,Nashik
2025-08-08,Name,Pending,MH-MUM,New Delhi
2024-06-11,Biometric,Approved,KA-MYS,Mumbai
2025-05-15,Biometric,Pending,DL-NDL,Agra
2024-12-25,Mobile,Approved,MH-PUN,Lucknow
2025-05-28,Name,Pending,MH-PUN,New Delhi
2024-09-06,Photo,Rejected,TN-CBE,Bengaluru
2026-01-19,Address,Rejected,UP-AGR,New Delhi
2024-12-08,Address,Approved,KA-BLR,Chennai
2025-10-07,DOB,Rejected,KA-BLR,Coimbatore
2024-05-12,Biometric,Approved,UP-AGR,Lucknow
2024-07-26,Biometric,Approved,MH-NSK,Mysuru
2025-07-30,Mobile,Approved,MH-PUN,Chennai
2024-06-21,Biometric,Pending,MH-MUM,Coimbatore
2025-03-07,Mobile,Pending,TN-CHN,Lucknow
2024-04-23,Photo,Rejected,MH-NSK,Lucknow
2025-04-23,Photo,Approved,MH-NSK,Mysuru
2024-12-26,DOB,Rejected,TN-CBE,Coimbatore
2026-02-03,Address,Approved,KA-BLR,Bengaluru
2025-03-20,Photo,Approved,UP-AGR,Coimbatore
2025-12-09,Biometric,Pending,DL-NDL,Nashik
2025-05-03,Email,Approved,MH-PUN,Agra
2024-11-26,DOB,Approved,KA-BLR,Bengaluru
2024-10-20,Biometric,Approved,UP-AGR,Mysuru
2025-07-04,Mobile,Approved,MH-MUM,Chennai
2026-02-14,Photo,Rejected,UP-LKO,Coimbatore
2024-05-16,Email,Pending,UP-AGR,Nashik
2025-04-13,Photo,Approved,KA-MYS,Bengaluru
2024-07-07,DOB,Approved,MH-NSK,Bengaluru
2025-03-08,Address,Approved,DL-NDL,Nashik
2025-01-21,Photo,Approved,MH-MUM,Agra
2026-04-01,Name,Approved,MH-MUM,Coimbatore
2024-06-09,Address,Approved,KA-BLR,Lucknow
2024-05-02,Photo,Approved,KA-BLR,Agra
2025-10-31,Address,Rejected,TN-CHN,Bengaluru
2025-07-27,Biometric,Pending,MH-MUM,Mumbai
2024-07-31,Biometric,Approved,MH-PUN,Chennai
2024-10-23,Photo,Approved,UP-LKO,Pune
2025-03-18,DOB,Rejected,MH-NSK,Bengaluru
2024-10-03,Email,Rejected,MH-MUM,Coimbatore
2024-05-07,Biometric,Approved,MH-NSK,Coimbatore
2026-02-09,Name,Approved,UP-AGR,New Delhi
2024-05-10,Name,Approved,KA-BLR,Bengaluru
2024-10-17,Address,Approved,MH-NSK,Pune
2025-04-30,Photo,Approved,KA-BLR,Bengaluru
2025-03-02,Name,Approved,DL-NDL,New Delhi
2025-06-06,Name,Approved,UP-AGR,Lucknow
2024-05-02,Email,Approved,KA-BLR,Bengaluru
2025-08-10,Name,Approved,MH-PUN,Mysuru
2025-07-18,Email,Approved,DL-NDL,Bengaluru
2024-12-21,Photo,Pending,TN-CHN,Chennai
2024-06-25,DOB,Approved,MH-MUM,Agra
2026-04-16,Email,Approved,KA-BLR,New Delhi
2025-01-09,Name,Rejected,KA-MYS,Mysuru
2025-01-29,Name,Rejected,TN-CHN,Nashik
2025-08-04,DOB,Approved,DL-NDL,Nashik
2025-11-16,Name,Rejected,KA-MYS,Pune
2026-01-30,Email,Approved,MH-PUN,Agra
2025-06-03,Mobile,Approved,KA-MYS,Chennai
2025-07-08,Email,Pending,KA-MYS,Agra
2026-02-09,DOB,Pending,TN-CHN,Chennai
2024-07-14,Mobile,Approved,UP-AGR,Bengaluru
2024-09-24,Photo,Approved,KA-BLR,Bengaluru
2025-10-30,Address,Rejected,KA-BLR,Lucknow
2026-02-27,Biometric,Approved,MH-MUM,Pune
2025-02-28,Mobile,Approved,UP-AGR,Nashik
2025-12-17,Biometric,Approved,TN-CBE,New Delhi
2026-04-08,Photo,Approved,DL-NDL,Mumbai
2025-06-27,Name,Approved,UP-AGR,New Delhi
2025-11-24,DOB,Approved,UP-LKO,Pune
2025-07-08,DOB,Pending,MH-NSK,New Delhi
2025-05-27,Name,Approved,MH-NSK,Mysuru
2024-09-12,Name,Approved,MH-NSK,Lucknow
2025-06-30,Email,Approved,UP-AGR,Chennai
2025-11-10,Photo,Rejected,DL-NDL,Mysuru
2024-11-19,Photo,Rejected,DL-NDL,Mumbai
2024-07-01,DOB,Rejected,TN-CBE,Chennai
2024-04-22,Name,Approved,KA-BLR,Mysuru
2025-04-19,Name,Pending,MH-MUM,Bengaluru
2024-10-26,Biometric,Pending,DL-NDL,Agra
2025-08-18,Email,Pending,UP-LKO,Lucknow
2026-04-08,Email,Approved,TN-CBE,Lucknow
2026-01-27,Name,Approved,TN-CHN,Mysuru
2026-04-13,Email,Approved,KA-BLR,Chennai
2024-08-31,Biometric,Approved,MH-MUM,Lucknow
2025-06-25,Address,Pending,KA-MYS,Bengaluru
2026-03-11,Mobile,Approved,DL-NDL,Bengaluru
2026-03-08,Address,Approved,UP-LKO,New Delhi
2024-11-11,Email,Rejected,MH-PUN,Pune
2025-07-30,DOB,Approved,KA-BLR,Coimbatore
2025-09-23,Photo,Approved,TN-CHN,Pune
2025-07-05,DOB,Approved,KA-MYS,Chennai
2024-11-29,Address,Rejected,MH-MUM,Nashik
2025-08-05,Biometric,Approved,TN-CBE,Bengaluru
2025-07-18,Address,Approved,TN-CHN,Coimbatore
2025-03-09,Mobile,Approved,KA-BLR,Coimbatore
2025-07-15,DOB,Approved,MH-PUN,Lucknow
2025-08-04,Email,Pending,UP-AGR,New Delhi
2024-12-06,Email,Pending,MH-MUM,Agra
2025-04-20,Photo,Pending,DL-NDL,Mysuru
2026-04-02,DOB,Rejected,DL-NDL,Nashik
2024-06-16,Name,Rejected,MH-NSK,Bengaluru
2025-08-07,Email,Approved,UP-LKO,Lucknow
2025-05-09,Name,Approved,TN-CBE,Agra
2025-02-08,Address,Approved,TN-CBE,Coimbatore
2025-12-23,Email,Pending,DL-NDL,New Delhi
2025-02-15,Address,Approved,UP-LKO,Lucknow
2024-08-25,Address,Pending,KA-MYS,Mumbai
2025-07-10,Email,Approved,KA-BLR,Bengaluru
2025-01-11,Name,Approved,KA-BLR,Bengaluru
2024-05-27,Name,Rejected,TN-CHN,Bengaluru
2025-06-19,Email,Rejected,UP-AGR,Lucknow
2024-11-19,Name,Pending,DL-NDL,Coimbatore
2024-10-27,DOB,Approved,KA-MYS,New Delhi
2025-07-21,Photo,Approved,MH-PUN,Chennai
2024-08-06,DOB,Rejected,UP-AGR,Agra
2025-10-09,Mobile,Pending,KA-BLR,Coimbatore
2025-03-06,Photo,Pending,MH-MUM,Chennai
2025-09-20,Biometric,Approved,KA-BLR,New Delhi
2026-04-06,Mobile,Approved,MH-PUN,Lucknow
2025-04-12,DOB,Approved,KA-BLR,Pune
2024-10-25,Email,Rejected,KA-BLR,Pune
2025-09-28,Photo,Pending,DL-NDL,Mumbai
2026-03-25,Biometric,Pending,MH-NSK,Bengaluru
2024-07-01,Biometric,Approved,KA-MYS,New Delhi
2025-12-03,Address,Pending,MH-MUM,Chennai
2024-11-17,Biometric,Approved,MH-MUM,Pune
2024-12-24,Email,Rejected,MH-MUM,Mysuru
2026-04-15,DOB,Approved,UP-LKO,Nashik
2024-04-23,Mobile,Pending,TN-CHN,Bengaluru
2025-09-03,Email,Pending,MH-PUN,Bengaluru
2024-08-13,Email,Approved,TN-CHN,Bengaluru
2025-05-14,Photo,Rejected,DL-NDL,Agra
2025-10-11,Photo,Approved,KA-MYS,Mysuru
2025-05-08,Email,Pending,MH-PUN,Pune
2024-04-22,Address,Rejected,TN-CBE,Lucknow
2026-02-17,Address,Approved,KA-BLR,Agra
2026-03-28,Biometric,Pending,UP-LKO,Mumbai
2024-07-16,DOB,Approved,KA-BLR,Nashik
2025-05-05,Biometric,Approved,UP-LKO,Nashik
2025-11-09,DOB,Approved,KA-BLR,Mumbai
2024-10-08,Photo,Approved,MH-MUM,Pune
2026-04-13,Address,Rejected,UP-AGR,Coimbatore
2026-03-19,Mobile,Approved,UP-AGR,Mumbai
2026-01-24,Name,Approved,DL-NDL,Mysuru
2026-02-11,DOB,Approved,MH-PUN,Agra
2025-11-08,Mobile,Approved,MH-PUN,Mysuru
2025-12-25,Name,Approved,UP-AGR,Mysuru
2024-09-14,Mobile,Approved,KA-MYS,Bengaluru
2024-07-28,Mobile,Approved,MH-PUN,Mysuru
2026-01-30,Email,Rejected,UP-AGR,Chennai
2024-09-05,Address,Approved,MH-MUM,Pune
2025-02-13,Email,Approved,KA-BLR,New Delhi
2026-01-23,Name,Pending,MH-PUN,Chennai
2024-12-22,DOB,Pending,KA-MYS,Mumbai
2025-04-07,Photo,Approved,TN-CHN,Pune
2024-04-21,DOB,Approved,UP-AGR,Coimbatore
2026-04-13,Biometric,Approved,MH-PUN,Agra
2024-04-20,Name,Rejected,KA-BLR,Pune
2025-11-16,Biometric,Approved,UP-LKO,Chennai
2025-05-09,Address,Rejected,MH-MUM,Chennai
2025-01-09,DOB,Rejected,KA-MYS,Pune
2024-07-29,Mobile,Approved,TN-CBE,Mumbai
2026-03-03,Name,Pending,MH-NSK,New Delhi
2025-11-12,Email,Approved,TN-CBE,Mumbai
2025-04-12,Biometric,Approved,MH-MUM,Nashik
2025-09-09,DOB,Approved,KA-BLR,Pune
2024-11-01,Photo,Approved,KA-BLR,Bengaluru
2024-05-29,Biometric,Approved,DL-NDL,Coimbatore
2025-07-15,Biometric,Approved,TN-CBE,Coimbatore
2025-08-07,DOB,Approved,KA-MYS,Bengaluru
2024-12-07,Address,Rejected,UP-LKO,New Delhi
2025-04-08,Mobile,Approved,UP-AGR,Nashik
2025-05-04,Email,Approved,MH-MUM,Coimbatore
2025-05-11,Biometric,Approved,MH-PUN,Bengaluru
2024-07-06,Address,Approved,TN-CBE,New Delhi
2026-02-19,DOB,Rejected,DL-NDL,Coimbatore
2024-11-20,Address,Rejected,KA-MYS,Nashik
2024-10-22,Address,Approved,MH-NSK,Nashik
2024-12-25,Biometric,Rejected,TN-CBE,Pune
2024-12-01,Email,Approved,MH-MUM,Lucknow
2024-05-07,Address,Approved,UP-LKO,Mysuru
2025-07-22,Photo,Approved,UP-AGR,Mysuru
2025-11-29,Email,Approved,MH-MUM,Nashik
2025-07-08,Mobile,Approved,UP-AGR,Coimbatore
2025-10-30,Mobile,Rejected,KA-MYS,Nashik
2025-05-09,Photo,Pending,KA-BLR,Agra
2025-07-27,Name,Pending,UP-AGR,Mysuru
2025-04-30,Address,Approved,MH-MUM,Agra
2024-06-30,Photo,Pending,MH-PUN,Coimbatore
2024-11-05,Mobile,Approved,KA-MYS,Lucknow
2025-12-18,Mobile,Pending,UP-LKO,Lucknow
2024-06-28,Address,Approved,UP-AGR,New Delhi
2025-04-21,DOB,Rejected,UP-AGR,Mumbai
2024-11-18,Biometric,Approved,DL-NDL,Lucknow
2025-07-26,DOB,Approved,TN-CHN,Nashik
2025-09-27,Email,Pending,UP-LKO,Mumbai
2025-02-20,Address,Approved,KA-BLR,Chennai
2025-03-22,Biometric,Approved,MH-NSK,Lucknow
2026-02-11,Email,Approved,TN-CBE,Mysuru
2026-01-08,Address,Approved,TN-CHN,Mumbai
2024-06-27,Address,Approved,KA-MYS,Coimbatore
2025-04-25,Address,Approved,KA-MYS,New Delhi
2025-10-02,DOB,Approved,TN-CHN,Mysuru
2024-11-04,DOB,Approved,KA-BLR,Mumbai
2025-10-04,DOB,Pending,TN-CHN,Coimbatore
2026-04-09,Address,Rejected,MH-MUM,New Delhi
2025-03-26,Name,Approved,TN-CHN,Lucknow
2025-10-04,DOB,Approved,MH-NSK,Nashik
2026-01-29,Biometric,Approved,MH-PUN,Nashik
2024-12-15,Mobile,Approved,UP-LKO,New Delhi
2024-08-03,Name,Approved,TN-CHN,Bengaluru
2025-10-10,Biometric,Rejected,MH-MUM,Coimbatore
2026-03-24,Photo,Approved,KA-MYS,Pune
2025-02-02,Name,Rejected,MH-MUM,Bengaluru
2024-05-12,Address,Approved,UP-LKO,Bengaluru
2025-11-12,Name,Approved,MH-PUN,New Delhi
2025-09-15,Photo,Rejected,MH-NSK,Coimbatore
2024-05-10,Biometric,Pending,TN-CHN,Agra
2024-06-14,Name,Rejected,UP-LKO,Coimbatore
2024-11-06,Mobile,Approved,TN-CBE,Pune
2024-08-14,Name,Pending,MH-MUM,Mysuru
2024-10-26,Biometric,Approved,MH-MUM,Bengaluru
2024-11-04,Email,Pending,UP-LKO,Mumbai
2025-08-15,DOB,Approved,MH-NSK,Lucknow
2026-04-08,Photo,Approved,KA-BLR,Agra
2024-07-25,Name,Approved,KA-BLR,Lucknow
2025-02-16,Mobile,Approved,MH-PUN,Lucknow
2025-06-02,Mobile,Approved,TN-CBE,Bengaluru
2025-01-07,Photo,Approved,DL-NDL,Nashik
2024-05-24,Email,Approved,UP-AGR,Nashik
2025-11-21,Name,Approved,TN-CBE,Pune
2025-10-08,Photo,Approved,MH-NSK,Pune
2025-05-22,DOB,Approved,TN-CHN,Lucknow
2024-07-17,Email,Approved,TN-CHN,Bengaluru
2024-08-05,Biometric,Rejected,DL-NDL,Bengaluru
2024-08-07,DOB,Rejected,MH-MUM,New Delhi
2024-07-22,DOB,Rejected,KA-BLR,Coimbatore
2024-06-08,Biometric,Pending,KA-MYS,Bengaluru
2025-05-20,Name,Rejected,MH-MUM,Bengaluru
2025-11-19,Address,Approved,MH-NSK,New Delhi
2025-10-18,Biometric,Approved,UP-AGR,Chennai
2026-03-01,DOB,Approved,TN-CBE,Agra
2024-09-19,Mobile,Approved,TN-CBE,Agra
2025-09-04,Name,Approved,TN-CBE,Nashik
2025-04-09,Email,Pending,DL-NDL,Bengaluru
2025-09-12,Address,Approved,TN-CHN,Bengaluru
2024-05-01,Biometric,Rejected,KA-BLR,Mysuru
2025-12-13,Biometric,Approved,KA-BLR,Lucknow
2025-09-05,Email,Pending,KA-MYS,Agra
2025-08-01,Photo,Approved,UP-AGR,Bengaluru
2025-12-19,Address,Approved,UP-AGR,Chennai
2025-04-01,DOB,Approved,TN-CBE,Mysuru
2025-06-15,Name,Approved,TN-CHN,Mysuru
2024-11-06,Email,Approved,TN-CBE,Bengaluru
2024-04-24,DOB,Approved,MH-PUN,Chennai
2026-04-03,Name,Approved,MH-MUM,Pune
2024-12-29,Email,Approved,MH-MUM,Mumbai
2025-03-05,Photo,Approved,TN-CHN,Bengaluru
2025-06-26,DOB,Approved,KA-MYS,Chennai
2024-10-22,DOB,Rejected,MH-MUM,Pune
2024-10-27,DOB,Approved,TN-CBE,Mumbai
2025-06-13,Photo,Approved,UP-AGR,Mumbai
2024-09-29,DOB,Rejected,MH-NSK,Pune
2025-06-20,Address,Approved,TN-CBE,Lucknow
2025-08-22,Biometric,Pending,DL-NDL,Mysuru
2025-01-31,Photo,Approved,TN-CBE,Chennai
2024-11-09,Photo,Rejected,MH-NSK,Mumbai
2024-08-24,Name,Approved,MH-MUM,Bengaluru
2024-08-16,Biometric,Pending,UP-AGR,New Delhi
2024-07-18,DOB,Pending,UP-LKO,Coimbatore
2025-08-07,Photo,Pending,UP-LKO,Agra
2025-12-21,Email,Approved,MH-MUM,Nashik
2025-07-11,Mobile,Approved,MH-NSK,New Delhi
2024-11-14,Name,Pending,MH-NSK,Chennai
2024-10-05,Name,Approved,MH-PUN,Coimbatore
2024-08-12,Address,Approved,TN-CBE,Mumbai
2025-05-04,Mobile,Approved,TN-CBE,Agra
2024-11-13,Photo,Approved,MH-MUM,Pune
2025-12-02,Photo,Approved,UP-LKO,Mysuru
2025-02-26,DOB,Approved,MH-NSK,Mumbai
2025-03-31,Email,Pending,MH-PUN,Coimbatore
